Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
623b8a5cf6950baeb576f2b0,616c0d909437f5fb6fcc4049,APPROVED,2022-03-23T21:00:39.553000Z,2022-03-23T21:25:54.244000Z,2022-03-24T12:35:03.941000Z,,1515,52BD9173,359,"Tagalog-Filipino, English",27,Female,Asian,Philippines,United Kingdom,United Kingdom,Tagalog-Filipino,DATA_EXPIRED,DATA_EXPIRED
623b8a5cfb7a620a1760fd0d,60979b540a2cf2468fde514b,APPROVED,2022-03-23T21:00:56.845000Z,2022-03-23T21:37:52.876000Z,2022-03-23T22:08:36.874000Z,,2217,52BD9173,982,English,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Part-Time
623b8a5d965672865e2cc6ec,617139bdf6dbf9169a30ad3a,APPROVED,2022-03-23T21:00:13.145000Z,2022-03-23T21:26:27.835000Z,2022-03-24T12:35:20.883000Z,,1575,52BD9173,452,"English, Spanish, French",28,Male,DATA_EXPIRED,Spain,Spain,Spain,Spanish,DATA_EXPIRED,DATA_EXPIRED
623b8a5df6950baeb576f2b2,5e2720de173db496168318c6,APPROVED,2022-03-23T21:09:42.212000Z,2022-03-23T21:41:19.929000Z,2022-03-23T22:06:58.363000Z,,1898,52BD9173,263,"English, Polish",25,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
623b8a5f060557159308ac1e,614014b19c0f71d80ec584a0,APPROVED,2022-03-23T21:00:15.408000Z,2022-03-23T21:24:49.066000Z,2022-03-24T12:35:15.642000Z,,1474,52BD9173,118,"Spanish, English, Polish",21,Female,Other,Mexico,Mexico,Mexico,Spanish,Yes,Unemployed (and job seeking)
623b8a5f394b44eab57edecd,610063b7b50c4e9488e77eca,APPROVED,2022-03-23T21:00:26.812000Z,2022-03-23T21:20:43.870000Z,2022-03-24T12:35:04.845000Z,,1218,52BD9173,317,"Belarusian, English, French, Italian, German, Polish, Spanish, Ukrainian, Russian",23,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time
623b8a5fb97cb4fecc315586,5ea1965fc546e204bb568292,APPROVED,2022-03-23T21:00:15.590000Z,2022-03-23T21:38:41.482000Z,2022-03-24T12:35:13.984000Z,,2306,52BD9173,538,"English, Italian, French",32,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
623b8a607c9c52cc395dfd75,5968b8040e679d0001fabd89,APPROVED,2022-03-23T21:00:16.081000Z,2022-03-23T21:43:13.222000Z,2022-03-24T12:35:12.638000Z,,2578,52BD9173,825,"English, Portuguese",41,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
623b8a6626d5fba0b8fdc470,5d1e4a3ed4b9d60001ec8f1c,APPROVED,2022-03-23T21:00:22.644000Z,2022-03-23T21:34:03.319000Z,2022-03-24T12:35:06.707000Z,,2021,52BD9173,800,"English, French, Russian, Hebrew",46,Male,White,Kazakhstan,Israel,Israel,English,No,Full-Time
623b8a82b97cb4fecc315589,60d33b6571caa14347a61558,APPROVED,2022-03-23T21:00:52.194000Z,2022-03-23T21:18:32.156000Z,2022-03-23T22:08:43.232000Z,,1060,52BD9173,173,"English, French, Portuguese",21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
623b8aa3fef236c9236f58d2,5ed377271691ea000c548cb0,APPROVED,2022-03-23T21:01:41.644000Z,2022-03-23T21:45:55.054000Z,2022-03-23T22:08:02.294000Z,,2654,52BD9173,1399,"English, Greek, French",62,Female,White,Italy,Greece,United States,English,No,Full-Time
623b8c5b888016db1ef7bf2b,5e75e37c0a52831469c2eb53,APPROVED,2022-03-23T21:08:43.339000Z,2022-03-23T21:27:25.255000Z,2022-03-23T22:07:17.797000Z,,1122,52BD9173,668,"Lithuanian, English",29,Male,White,Lithuania,Spain,Lithuania,Lithuanian,Yes,Full-Time
623b8c5da81f119af35206e4,60c048ca962103e0da201a34,APPROVED,2022-03-23T21:08:45.854000Z,2022-03-23T21:55:36.660000Z,2022-03-23T22:07:07.101000Z,,2811,52BD9173,754,English,39,Female,White,United Kingdom,South Africa,United Kingdom,English,No,Full-Time
623b8c5ed533195b1a3ef8ad,61254c5a6facc8ed023a64de,APPROVED,2022-03-23T21:10:53.284000Z,2022-03-23T21:46:15.689000Z,2022-03-23T22:05:54.229000Z,,2123,52BD9173,573,"Polish, English",28,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
623b8c5f035674146857b7f7,615edbdae7feeb515b7f2a79,APPROVED,2022-03-23T21:09:55.290000Z,2022-03-23T21:32:15.270000Z,2022-03-23T22:06:46.791000Z,,1340,52BD9173,294,"English, Polish",35,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
623b8c5f77a42455309945ca,5c97e7136825d900019b9fb8,APPROVED,2022-03-23T21:13:09.367000Z,2022-03-23T22:02:46.620000Z,2022-03-23T22:06:35.804000Z,,2978,52BD9173,467,"English, Polish, German",37,Male,White,United Kingdom,Poland,Poland,English,DATA_EXPIRED,DATA_EXPIRED
623b8c60afa4dcc15a6bd42c,5a46d551b77a5000014a8ce9,APPROVED,2022-03-23T21:13:17.095000Z,2022-03-23T21:33:15.827000Z,2022-03-23T22:05:31.332000Z,,1199,52BD9173,1250,"English, Japanese",25,Female,White,United Kingdom,United Kingdom,Ireland,English,Yes,Full-Time
